Item Code,Country Code,Item Name,Price Level,Selling Price,Qualifying Price,Taxable Price,Commission,Retails Commissions,Product Pack Bonus,Reail Value Volume,For Promotions
PWRBOOST,CAN,POWER BOOST SYSTEM,2,129,100,129,90,39,0,129,129
PWRBOOST,CAN,POWER BOOST SYSTEM,3,110,100,110,90,20,0,129,110
PWRBOOST,CAN,POWER BOOST SYSTEM,9,0,0,0,0,0,0,0,0
PWRBOOST,USA,POWER BOOST SYSTEM,1,69,100,99,69,0,0,99,69
PWRBOOST,USA,POWER BOOST SYSTEM,2,99,100,99,69,30,0,99,99
PWRBOOST,USA,POWER BOOST SYSTEM,3,84,100,84,69,15,0,99,84
PWRBOOST,USA,POWER BOOST SYSTEM,9,0,0,0,0,0,0,0,0
R3SYSTEM,CAN,R3 System,1,90,100,129,90,0,0,129,90
R3SYSTEM,CAN,R3 System,2,129,100,129,90,39,0,129,129
R3SYSTEM,CAN,R3 System,3,110,100,110,90,20,0,129,110
R3SYSTEM,CAN,R3 System,9,0,0,0,0,0,0,0,0
R3SYSTEM,GBR,R3 System,1,60,100,50,50,0,0,70.83,60
R3SYSTEM,GBR,R3 System,2,85,100,70.83,50,20.83,0,70.83,85
R3SYSTEM,GBR,R3 System,3,72,100,60,50,10,0,70.83,72
R3SYSTEM,USA,R3 System,1,69,100,99,69,0,0,99,69
R3SYSTEM,USA,R3 System,2,99,100,99,69,30,0,99,99
R3SYSTEM,USA,R3 System,3,84,100,84,69,15,0,99,84
R3SYSTEM,USA,R3 System,9,0,0,0,0,0,0,0,0
RCGDIR,CAN,Director Recognition - Luggage,1,0,0,0,0,0,0,0,0
RCGDIR,CAN,Director Recognition - Luggage,9,0,0,0,0,0,0,0,0
RCGDIR,USA,Director Recognition - Luggage,1,0,0,0,0,0,0,0,0
RCGDIR,USA,Director Recognition - Luggage,9,0,0,0,0,0,0,0,0
RECOGNITION,CAN,Recognition,9,0,0,0,0,0,0,0,0
RECOGNITION,USA,Recognition,9,0,0,0,0,0,0,0,0
REINSTATE,CAN,MP Reinstatement Fee,1,49,0,49,0,0,0,0,49
REINSTATE,USA,MP Reinstatement Fee,1,49,0,49,0,0,0,0,49
RENEWALFEE,CAN,MP Renewal Fee,1,19.95,0,19.95,0,0,0,0,19.95
RENEWALFEE,GBR,MP Renewal Fee,1,18,0,0,0,0,0,0,18
RENEWALFEE,USA,MP Renewal Fee,1,19.95,0,19.95,0,0,0,0,0
RENEWSMM,USA,Renew 8oz & OFY Super Moisture Masque 4oz,9,0,0,0,0,0,0,0,0
RENIRT,CAN,Renew Shampoo + IRT Shampoo,1,25,20,25,0,0,0,0,25
RENIRT,CAN,Renew Shampoo + IRT Shampoo,3,25,20,25,0,0,0,0,25
RENIRT,USA,Renew Shampoo + IRT Shampoo,1,20,20,20,0,0,0,0,20
RENIRT,USA,Renew Shampoo + IRT Shampoo,3,20,20,20,0,0,0,0,20
RENJUN,CAN,Renew Shampoo + Junior Shampoo,1,25,20,25,0,0,0,0,25
RENJUN,CAN,Renew Shampoo + Junior Shampoo,3,25,20,25,0,0,0,0,25
RENJUN,USA,Renew Shampoo + Junior Shampoo,1,20,20,20,0,0,0,0,20
RENJUN,USA,Renew Shampoo + Junior Shampoo,3,20,20,20,0,0,0,0,20
RENREN,CAN,Renew Shmapoo + Renew Shampoo,1,25,20,25,0,0,0,0,25
RENREN,CAN,Renew Shmapoo + Renew Shampoo,3,25,20,25,0,0,0,0,25
RENREN,USA,Renew Shmapoo + Renew Shampoo,1,20,20,20,0,0,0,0,20
RENREN,USA,Renew Shmapoo + Renew Shampoo,3,20,20,20,0,0,0,0,20
RENREV,CAN,Renew Shampoo + Revive Shampoo,1,25,20,25,0,0,0,0,25
RENREV,CAN,Renew Shampoo + Revive Shampoo,2,"99,999.00",0,"99,999.00",0,0,0,0,"99,999.00"
RENREV,CAN,Renew Shampoo + Revive Shampoo,3,25,20,25,0,0,0,0,25
RENREV,USA,Renew Shampoo + Revive Shampoo,1,20,20,20,0,0,0,0,20
RENREV,USA,Renew Shampoo + Revive Shampoo,3,20,20,20,0,0,0,0,20
REPLACE01,USA,Replacemnet SKU for printing in batch,9,0,0,0,0,0,0,0,0
REVIRC,CAN,Revitalize Conditioner + Intense Repair Condi,1,32,0,32,0,0,0,0,32
REVIRC,CAN,Revitalize Conditioner + Intense Repair Condi,3,32,0,32,0,0,0,0,32
REVIRC,GBR,Revitalize Conditioner + Intense Repair Condi,1,25,94,20.83,0,0,0,0,25
REVIRC,GBR,Revitalize Conditioner + Intense Repair Condi,3,25,94,20.83,0,0,0,0,25
REVIRC,USA,Revitalize Conditioner + Intense Repair Condi,1,25,0,25,0,0,0,0,25
REVIRC,USA,Revitalize Conditioner + Intense Repair Condi,3,25,0,25,0,0,0,0,25
REVIRT,CAN,Revive Shampoo + IRT Shampoo,1,25,20,25,0,0,0,0,25
REVIRT,CAN,Revive Shampoo + IRT Shampoo,3,25,20,25,0,0,0,0,25
REVIRT,USA,Revive Shampoo + IRT Shampoo,1,20,20,20,0,0,0,0,20
REVIRT,USA,Revive Shampoo + IRT Shampoo,3,20,20,20,0,0,0,0,20
REVIVEDRY,CAN,Revive Shampoo 8oz & OFY Air Dry 4oz,9,0,0,0,0,0,0,0,0
REVIVEDRY,USA,Revive Shampoo 8oz & OFY Air Dry 4oz,9,0,0,0,0,0,0,0,0
REVJUN,CAN,Revive Shampoo + Junior Shampoo,1,25,20,25,0,0,0,0,25
REVJUN,CAN,Revive Shampoo + Junior Shampoo,3,25,20,25,0,0,0,0,25
REVJUN,USA,Revive Shampoo + Junior Shampoo,1,20,20,20,0,0,0,0,20
REVJUN,USA,Revive Shampoo + Junior Shampoo,3,20,20,20,0,0,0,0,20
REVRET,CAN,Revitalize Conditioner + Revitalize Condition,1,32,0,32,0,0,0,0,32
REVRET,CAN,Revitalize Conditioner + Revitalize Condition,3,32,0,32,0,0,0,0,32
REVRET,GBR,Revitalize Conditioner + Revitalize Condition,1,25,94,20.83,0,0,0,0,25
REVRET,GBR,Revitalize Conditioner + Revitalize Condition,3,25,94,20.83,0,0,0,0,25
REVRET,USA,Revitalize Conditioner + Revitalize Condition,1,25,0,25,0,0,0,0,25
REVRET,USA,Revitalize Conditioner + Revitalize Condition,3,25,0,25,0,0,0,0,25
REVREV,CAN,Revive Shampoo + Revive Shampoo,1,25,20,25,0,0,0,0,25
REVREV,CAN,Revive Shampoo + Revive Shampoo,3,25,20,25,0,0,0,0,25
REVREV,USA,Revive Shampoo + Revive Shampoo,1,20,20,20,0,0,0,0,20
REVREV,USA,Revive Shampoo + Revive Shampoo,3,20,20,20,0,0,0,0,20
REVRLI,CAN,Revitalize Conditioner + Restore Leave-In Con,1,32,0,32,0,0,0,0,32
REVRLI,CAN,Revitalize Conditioner + Restore Leave-In Con,3,32,0,32,0,0,0,0,32
REVRLI,GBR,Revitalize Conditioner + Restore Leave-In Con,1,25,80,20.83,0,0,0,0,25
REVRLI,GBR,Revitalize Conditioner + Restore Leave-In Con,3,25,80,20.83,0,0,0,0,25
REVRLI,USA,Revitalize Conditioner + Restore Leave-In Con,1,25,0,25,0,0,0,0,25
REVRLI,USA,Revitalize Conditioner + Restore Leave-In Con,3,25,0,25,0,0,0,0,25
REVSDC,CAN,Revitalize Conditioner + Smoothing Deep Condi,1,32,0,32,0,0,0,0,32
REVSDC,CAN,Revitalize Conditioner + Smoothing Deep Condi,3,32,0,32,0,0,0,0,32
REVSDC,USA,Revitalize Conditioner + Smoothing Deep Condi,1,25,0,25,0,0,0,0,25
REVSDC,USA,Revitalize Conditioner + Smoothing Deep Condi,3,25,0,25,0,0,0,0,25
RJVABPROM1,CAN,1 Rejuvabeads + 1 Replenish Masque,1,70,49,70,45,0,0,65,70
RJVABPROM1,CAN,1 Rejuvabeads + 1 Replenish Masque,2,"99,999.00",0,0,0,0,0,65,"99,999.00"
RJVABPROM1,CAN,1 Rejuvabeads + 1 Replenish Masque,3,80,49,80,45,10,0,65,80
RJVABPROM1,USA,1 Rejuvabeads + 1 Replenish Masque,1,54,49,54,34,0,0,49,54
RJVABPROM1,USA,1 Rejuvabeads + 1 Replenish Masque,2,"99,999.00",0,0,0,0,0,49,"99,999.00"
RJVABPROM1,USA,1 Rejuvabeads + 1 Replenish Masque,3,62,49,62,34,8,0,49,62
RJVABPROM2,CAN,2 Rejuvabeads + 1 Replenish Masque,1,96,90,96,83,0,0,130,96
RJVABPROM2,CAN,2 Rejuvabeads + 1 Replenish Masque,2,"99,999.00",0,0,0,0,0,130,"99,999.00"
RJVABPROM2,CAN,2 Rejuvabeads + 1 Replenish Masque,3,114,90,114,83,18,0,130,114
RJVABPROM2,USA,2 Rejuvabeads + 1 Replenish Masque,1,73,90,73,63,0,0,98,73
RJVABPROM2,USA,2 Rejuvabeads + 1 Replenish Masque,2,"99,999.00",0,0,0,0,0,98,"99,999.00"
RJVABPROM2,USA,2 Rejuvabeads + 1 Replenish Masque,3,87,90,87,63,14,0,98,87
RJVBDSPRM,GBR,Rejuvabeads - Offer,1,20,0,16.67,10,0,0,0,20
RJVBDSPRM,GBR,Rejuvabeads - Offer,3,20,0,16.67,10,0,0,0,20
RJVBDSPRM,GBR,Rejuvabeads - Offer,9,0,0,0,0,0,0,0,0
RLCRLC,CAN,Restore Leave-In Conditioner + Restore Leave-,1,32,0,32,0,0,0,0,32
RLCRLC,CAN,Restore Leave-In Conditioner + Restore Leave-,3,32,0,32,0,0,0,0,32
RLCRLC,GBR,Restore Leave-In Conditioner + Restore Leave-,1,25,66,20.83,0,0,0,0,25
RLCRLC,GBR,Restore Leave-In Conditioner + Restore Leave-,3,25,66,20.83,0,0,0,0,25
RLCRLC,USA,Restore Leave-In Conditioner + Restore Leave-,1,25,0,25,0,0,0,0,25
RLCRLC,USA,Restore Leave-In Conditioner + Restore Leave-,3,25,0,25,0,0,0,0,25
RLISDC,CAN,Restore Leave-In Conditioner + Smoothing Deep,1,32,0,32,0,0,0,0,32
RLISDC,CAN,Restore Leave-In Conditioner + Smoothing Deep,3,32,0,32,0,0,0,0,32
RLISDC,USA,Restore Leave-In Conditioner + Smoothing Deep,1,25,0,25,0,0,0,0,25
RLISDC,USA,Restore Leave-In Conditioner + Smoothing Deep,3,25,0,25,0,0,0,0,25
ROCKTKIT,GBR,Booster Kit,9,0,0,0,0,0,0,0,0
ROCKTKIT,USA,Booster Kit,1,0,0,0,0,0,0,0,0
ROCKTKIT,USA,Booster Kit,2,0,0,0,0,0,0,0,0
ROCKTKIT,USA,Booster Kit,3,0,0,0,0,0,0,0,0
ROCKTKIT,USA,Booster Kit,9,0,0,0,0,0,0,0,0
ROLL BRUSH,GBR,Thermal Roller Brush (Large),1,16,16,13.33,9,0,0,22,16
ROLL BRUSH,GBR,Thermal Roller Brush (Large),3,18,16,15,9,1.67,0,22,18
ROLL BRUSH,GBR,Thermal Roller Brush (Large),9,0,0,0,0,0,0,0,0
